date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-06-08,188.3036,189.1211,186.9246,188.8256,26656799,26656799,-1.7336,-0.91,188.0835,"Jun 8, 18",0
2018-06-11,188.4809,189.0916,187.358,188.3627,18308460,18308460,-0.462955,-0.245,188.3202,"Jun 11, 18",-0.0024514684449567165
2018-06-12,188.5153,189.723,188.2839,189.3969,16911141,16911141,1.0343,0.549,188.9136,"Jun 12, 18",0.003025543146691865
2018-06-13,189.5348,189.9879,187.5845,187.8406,21638393,21638393,-1.5563,-0.822,188.7017,"Jun 13, 18",-0.005216453701193131
2018-06-14,188.6779,188.6976,187.3678,187.9391,21610074,21610074,0.098499,0.052,188.0304,"Jun 14, 18",-0.004694808331073818
2018-06-15,187.1807,187.3087,185.4372,186.0085,61719160,61719160,-1.9306,-1.027,186.2444,"Jun 15, 18",-0.014919057585412203
2018-06-18,185.0629,186.3828,184.3931,185.91,18484865,18484865,-0.0985,-0.053,185.7734,"Jun 18, 18",-0.015440702955531516
2018-06-19,182.364,183.5361,180.6993,182.9057,33578455,33578455,-3.0043,-1.616,182.3869,"Jun 19, 18",-0.03135115153877447
2018-06-20,183.5558,184.3931,182.9451,183.7036,20628701,20628701,0.797855,0.436,183.7077,"Jun 20, 18",-0.027125559246203978
2018-06-21,184.4423,185.5259,182.167,182.6792,25711898,25711898,-1.0244,-0.558,183.3643,"Jun 21, 18",-0.03255067109544468
2018-06-22,183.3293,183.3588,181.9306,182.1473,27200447,27200447,-0.531902,-0.291,182.5127,"Jun 22, 18",-0.035367556094088974
2018-06-25,180.6501,182.1473,178.0201,179.4385,31663096,31663096,-2.7088,-1.487,179.5992,"Jun 25, 18",-0.04971306856697399
2018-06-26,180.2462,183.7331,179.803,181.6646,24569201,24569201,2.2261,1.241,181.9729,"Jun 26, 18",-0.037923883202277665
2018-06-27,182.4505,184.4719,181.2706,181.3987,25285328,25285328,-0.265951,-0.146,182.731,"Jun 27, 18",-0.03933206090699575
2018-06-28,181.3396,183.4179,181.0441,182.7186,17365235,17365235,1.3199,0.728,182.3662,"Jun 28, 18",-0.032342012947396956
