date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-06-08,11.2828,11.3578,11.2454,11.3391,28371881,28371881,0.065597,0.582,11.3314,"Jun 8, 18",0
2018-06-11,11.3391,11.3859,11.2641,11.2735,30398078,30398078,-0.065597,-0.579,11.3181,"Jun 11, 18",-0.005785291601626221
2018-06-12,11.311,11.3859,11.2735,11.3484,51395448,51395448,0.074968,0.665,11.3389,"Jun 12, 18",0.0008201709130353945
2018-06-13,11.3391,11.3391,11.2079,11.2641,28406733,28406733,-0.084339,-0.743,11.2724,"Jun 13, 18",-0.0066142815567374015
2018-06-14,11.2454,11.2547,11.0954,11.1423,34523019,34523019,-0.121826,-1.082,11.1499,"Jun 14, 18",-0.01735587480487866
2018-06-15,11.0954,11.2735,11.0579,11.1329,56326835,56326835,-0.00937,-0.084,11.135,"Jun 15, 18",-0.018184864759989844
2018-06-18,11.0767,11.2828,11.0673,11.236,32706527,32706527,0.103082,0.926,11.2172,"Jun 18, 18",-0.009092432379994842
2018-06-19,11.0767,11.1423,10.9361,11.1423,40064785,40064785,-0.093712,-0.834,11.0545,"Jun 19, 18",-0.01735587480487866
2018-06-20,11.2172,11.2922,11.0861,11.1235,31964792,31964792,-0.018742,-0.168,11.165,"Jun 20, 18",-0.019013854715100868
2018-06-21,11.0579,11.086,10.908,10.9736,33316702,33316702,-0.149939,-1.348,10.9731,"Jun 21, 18",-0.03223359878649988
2018-06-22,11.0111,11.1235,10.8893,10.9174,38207303,38207303,-0.056226,-0.512,10.9559,"Jun 22, 18",-0.03718990043301492
2018-06-25,10.8986,10.9361,10.6644,10.7768,36101893,36101893,-0.140567,-1.288,10.7581,"Jun 25, 18",-0.049589473591378545
2018-06-26,10.833,10.8986,10.7674,10.7955,36627672,36627672,0.018742,0.174,10.826,"Jun 26, 18",-0.04794031272323197
2018-06-27,10.8143,10.908,10.6831,10.7018,27240781,27240781,-0.093711,-0.868,10.7812,"Jun 27, 18",-0.05620375514811579
2018-06-28,10.655,10.6831,10.4488,10.5706,43836444,43836444,-0.131197,-1.226,10.5388,"Jun 28, 18",-0.06777433835136823
2018-06-29,10.6081,10.655,10.3364,10.3738,44718473,44718473,-0.196792,-1.862,10.4772,"Jun 29, 18",-0.08513021315624705
2018-07-02,10.327,10.4066,10.2239,10.402,37892751,37892751,0.028113,0.271,10.3068,"Jul 2, 18",-0.08264324329091383
